"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2018-11-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Europa Central y del Báltico","CEB","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Suiza","CHE","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Islas del Canal","CHI","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.1","","","","","","","","","4.5","","","","","",
"China","CHN","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Côte d'Ivoire","CIV","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.7","","","","","","45.7","","","","","","36.5","","","","","",
"Camerún","CMR","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.9114","","","","","","43.4","","","","62","","","","","","",
"Congo, República Democrática del","COD","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.8","","","","","","","30.5","","","20.5","","","","41.3914285397468","","","",
"Congo, República del","COG","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.06","","","","","","","31.5","","","","","",
"Colombia","COL","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","3.9","","6.44","","","7.2","","6.619165","5.56","","",
"Comoras","COM","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Costa Rica","CRI","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.7","","","","","","","2.5","","","","","1.31","",
"Estados pequeos del Caribe","CSS","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Islas Caimán","CYM","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chipre","CYP","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"República Checa","CZE","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Alemania","DEU","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dinamarca","DNK","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"República Dominicana","DOM","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.5","","","5.8","","","","14.05843","","","2.684442","","13.1965934572113","","","",
"Argelia","DZA","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.50076369799783","","","","",
"Asia oriental y el Pacífico (excluido altos ingresos)","EAP","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"inicial del dividendo demográfico","EAR","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Asia oriental y el Pacífico","EAS","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europa y Asia central (excluido altos ingresos)","ECA","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europa y Asia central","ECS","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ecuador","ECU","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","","14.3","","","6.3","","3.2","","","","5.562005","","",
"Egipto, República Árabe de","EGY","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.9","","","","2.9","","","","","","","","",
"Zona del Euro","EMU","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"España","ESP","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Estonia","EST","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Etiopía","ETH","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56","","","","","","26.1","","","","","","",
"Unión Europea","EUU","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Frágiles y situaciones de conflicto afectados","FCS","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finlandia","FIN","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fiji","FJI","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Francia","FRA","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Islas Feroe","FRO","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia (Estados Federados de)","FSM","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabón","GAB","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","","","","","",
"Reino Unido","GBR","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Georgia","GEO","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.8","","","","","","","","","","","",
"Ghana","GHA","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","","48.9","","","","","","28.76078","","","","","",
"Gibraltar","GIB","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.3","","","","","","","","","","","","","","","","44.9","","38.1","","","","","",
"Gambia","GMB","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.31456","","","","","43.5","","","35.9","","","","","","","23.75","","",
"Guinea-Bissau","GNB","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.5","","","","","","50.5","","","","","","","","63.9161787836337","","","",
"Guinea Ecuatorial","GNQ","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Grecia","GRC","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Granada","GRD","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Groenlandia","GRL","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.1","16.8","","18.2","","","","","","19.2","","10.60697","7.24264041647346","","",
"Guam","GUM","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ingreso alto","HIC","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Hong Kong, Región Administrativa Especial","HKG","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
