"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2018-11-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"China","CHN","Población de 65 años de edad y más, total","SP.POP.65UP.TO","24707366","24605040","24549307","24630596","24589358","24542894","25720901","26958200","28255522","29546215","30776130","32238918","33617240","34962082","36304743","37646803","39294886","40931673","42628417","44386142","46155588","48244037","50368917","52418697","54295069","56060035","57751551","59343210","60867163","62430422","64161215","65829726","67744680","69853433","72043016","74232245","77088858","79718801","82205292","84686766","87228408","89904561","92618409","95329636","97906483","100318362","102653405","104885006","107146225","109596498","112370608","115488499","118745097","122435695","127003874","132681231","139560890","147532179",
"Côte d'Ivoire","CIV","Población de 65 años de edad y más, total","SP.POP.65UP.TO","86367","90094","93936","97863","101837","105855","110191","114485","118857","123468","128436","134485","140961","147859","155143","162797","170792","178995","187518","196516","206123","216014","226416","237311","248622","260392","272790","285211","297936","311332","325658","339778","354154","368840","383851","399207","412945","425639","437248","447759","457232","470440","481608","491032","499080","506100","523126","539334","554686","568984","582144","600700","617944","634360","650504","666703","689816","712515",
"Camerún","CMR","Población de 65 años de edad y más, total","SP.POP.65UP.TO","186483","192071","197294","202215","206908","211426","217767","223949","229953","235739","241296","248793","256047","263114","270036","276874","285466","293886","302168","310326","318396","328151","337584","346796","355915","365027","375636","386114","396400","406403","416137","427209","437656","447548","456985","466049","477017","487190","496781","505933","514723","528045","540750","552875","564449","575495","589779","603701","617270","630466","643351","659514","675275","690799","706311","722003","741648","761301",
"Congo, República Democrática del","COD","Población de 65 años de edad y más, total","SP.POP.65UP.TO","447465","457852","467783","477391","486773","496029","510979","525780","540366","554666","568697","587073","604719","621950","639137","656528","678618","700649","722365","743391","763611","787894","810686","832440","853727","874994","901883","928988","957174","987375","1020016","1060291","1103474","1147726","1190903","1232076","1270139","1302756","1332153","1360833","1390401","1434152","1479224","1525595","1573129","1621730","1680923","1741191","1802657","1865481","1929923","2002690","2076684","2151294","2225588","2299408","2378198","2456339",
"Congo, República del","COG","Población de 65 años de edad y más, total","SP.POP.65UP.TO","37253","38685","40151","41631","43096","44528","46135","47698","49240","50778","52329","54066","55781","57478","59152","60802","62666","64471","66238","68003","69800","71841","73897","75962","78024","80066","82416","84687","86923","89150","91413","93869","96278","98659","101017","103377","105915","108340","110675","112927","115115","117690","120139","122548","124995","127542","131259","135113","138982","142724","146253","150786","155091","159303","163598","168149","173402","178959",
"Colombia","COL","Población de 65 años de edad y más, total","SP.POP.65UP.TO","522820","542678","562143","581530","601238","621508","645212","669114","693151","717376","742020","769587","797657","825998","854064","881618","916054","948175","978706","1008697","1038651","1070665","1103257","1136718","1171298","1207456","1248940","1291721","1335134","1378372","1421102","1467070","1511495","1555415","1600096","1646408","1697437","1750187","1804526","1859749","1915815","1977914","2040296","2104115","2170882","2241899","2318549","2399808","2487692","2584534","2692347","2812290","2941121","3080122","3230978","3394820","3567804","3751764",
"Comoras","COM","Población de 65 años de edad y más, total","SP.POP.65UP.TO","6113","6195","6252","6284","6300","6299","6443","6572","6702","6822","6937","7164","7387","7604","7826","8063","8412","8789","9175","9551","9901","10282","10609","10899","11171","11420","11753","12079","12384","12676","12950","13328","13683","14030","14356","14665","15073","15445","15802","16136","16465","16890","17290","17665","18013","18340","18808","19252","19671","20038","20346","20774","21155","21528","21961","22493","23265","24115",
"Cabo Verde","CPV","Población de 65 años de edad y más, total","SP.POP.65UP.TO","10194","10154","10147","10155","10166","10163","10294","10412","10530","10659","10828","11437","12035","12577","13033","13385","13714","13962","14150","14281","14359","14475","14601","14708","14746","14701","14651","14518","14410","14469","14773","15114","15674","16376","17108","17815","18638","19435","20239","21112","22073","23128","24240","25347","26329","27121","27426","27546","27532","27422","27238","26492","25651","24824","24183","23828","23962","24367",
"Costa Rica","CRI","Población de 65 años de edad y más, total","SP.POP.65UP.TO","40279","41868","43623","45512","47488","49533","51853","54272","56784","59408","62174","65166","68244","71447","74803","78321","82039","85750","89483","93260","97105","101003","105045","109232","113567","118090","123032","128126","133466","139213","145480","151794","158562","165759","173313","181195","189119","197289","205745","214521","223666","233158","243001","253246","263915","275077","286554","298186","310415","323884","338978","354568","371859","390343","409172","427950","446302","464461",
"Estados pequeos del Caribe","CSS","Población de 65 años de edad y más, total","SP.POP.65UP.TO","169157","175359","182071","189010","196024","203156","208494","214011","219804","225755","231712","238504","245089","251794","258673","265461","275373","285211","295205","305106","314458","321783","328216","334225","339956","344980","349277","353909","359490","366147","373700","379961","385849","391347","396565","401542","408669","415646","422763","430154","437876","444214","450799","457640","464671","471987","481590","491053","500724","511308","523500","535652","549210","563901","579379","595621","613161","630874",
