"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2018-11-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Chipre","CYP","Brecha de pobreza a $1,90 por día (2011 PPA) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","","",
"República Checa","CZE","Brecha de pobreza a $1,90 por día (2011 PPA) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","0.1","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","","",
"Alemania","DEU","Brecha de pobreza a $1,90 por día (2011 PPA) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","0.1","","","","","","0","0","","","0","","0","0","","","0","0","","0","","0","","",
"Djibouti","DJI","Brecha de pobreza a $1,90 por día (2011 PPA) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","7.9","7.5","","","","",
"Dominica","DMA","Brecha de pobreza a $1,90 por día (2011 PPA) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dinamarca","DNK","Brecha de pobreza a $1,90 por día (2011 PPA) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2","0.2","0.1","0","0","0.1","0.1","0","0","0","0.2","0.1","0.1","","",
"República Dominicana","DOM","Brecha de pobreza a $1,90 por día (2011 PPA) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","1.7","","","3.4","","","1.5","","","","1.9","2","","","1.9","1.1","2","2.3","2.8","1.7","1.3","1.3","1","0.9","0.6","0.7","0.7","0.6","0.6","0.5","0.4","",
"Argelia","DZA","Brecha de pobreza a $1,90 por día (2011 PPA) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9","","","","","","","1.2","","","","","","","","","","","","","","","","0.2","","","","","","",
"Asia oriental y el Pacífico (excluido altos ingresos)","EAP","Brecha de pobreza a $1,90 por día (2011 PPA) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"inicial del dividendo demográfico","EAR","Brecha de pobreza a $1,90 por día (2011 PPA) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
